BACKTEST ÖSSZESÍTŐ  —  2026-07-01 21:16
Mód       : TEST (out-of-sample, 2025-10-01-tól)
Időszak   : 2025-10-01 → 2026-06-30  (193 kereskedési nap)
Párok     : 12 aktív
=================================================================
Trade-ek  : 2902  (15.0/nap)
Exit típus: TP=159  SL=2743  BE/Trail=0
Nyerő     : 1332 (46%)  |  Vesztes: 1570 (54%)
Átl nyerő : $+6.69   Átl vesztes: $-4.45   Arány: 1.50x
Profit F. : 1.27
Total P&L : $+1920.18  (+192.0%)
Kezdő     : $1000   Záró: $2920
Max DD    : 10.46%
1% napok  : 85/193 (44%)

PÁRONKÉNT:
  Pár         Trade  Nyerő%      P&L$   MaxDD%
  2026-04-24      -16.21 $     1822   -0.88%  -------
  2026-04-27      +24.39 $     1847   +1.34%  ++++++++++ TARGET
  2026-04-28      -20.98 $     1826   -1.14%  --------- STOP
  2026-04-29      +88.16 $     1914   +4.83%  ++++++++++++++++++++++ TARGET
  2026-04-30      +44.49 $     1958   +2.32%  ++++++++++++++++++ TARGET
  2026-05-01      -41.09 $     1917   -2.10%  ---------------- STOP
  2026-05-04      -28.90 $     1888   -1.51%  ------------ STOP
  2026-05-05       -6.18 $     1882   -0.33%  --
  2026-05-06      +53.68 $     1936   +2.85%  ++++++++++++++++++++++ TARGET
  2026-05-07      +65.94 $     2002   +3.41%  ++++++++++++++++++++++ TARGET
  2026-05-08       +7.20 $     2009   +0.36%  ++
  2026-05-11      -33.26 $     1976   -1.66%  ------------- STOP
  2026-05-12      +40.68 $     2016   +2.06%  ++++++++++++++++ TARGET
  2026-05-13      +11.84 $     2028   +0.59%  ++++
  2026-05-14      +25.49 $     2054   +1.26%  ++++++++++ TARGET
  2026-05-15       -4.98 $     2049   -0.24%  -
  2026-05-18      -38.68 $     2010   -1.89%  --------------- STOP
  2026-05-19      +52.11 $     2062   +2.59%  ++++++++++++++++++++ TARGET
  2026-05-20      +56.51 $     2119   +2.74%  +++++++++++++++++++++ TARGET
  2026-05-21      -37.40 $     2081   -1.77%  -------------- STOP
  2026-05-22       +8.34 $     2090   +0.40%  +++
  2026-05-25      +54.60 $     2144   +2.61%  ++++++++++++++++++++ TARGET
  2026-05-26      -33.76 $     2111   -1.57%  ------------ STOP
  2026-05-27      -15.52 $     2095   -0.74%  -----
  2026-05-28      +48.41 $     2143   +2.31%  ++++++++++++++++++ TARGET
  2026-05-29      +65.34 $     2209   +3.05%  ++++++++++++++++++++++ TARGET
  2026-06-01      +52.19 $     2261   +2.36%  ++++++++++++++++++ TARGET
  2026-06-02      +23.38 $     2284   +1.03%  ++++++++ TARGET
  2026-06-03      -10.18 $     2274   -0.45%  ---
  2026-06-04       -3.72 $     2270   -0.16%  -
  2026-06-05     +227.91 $     2498  +10.04%  ++++++++++++++++++++++ TARGET
  2026-06-08       -0.65 $     2498   -0.03%  
  2026-06-09      +59.83 $     2558   +2.40%  +++++++++++++++++++ TARGET
  2026-06-10      +25.30 $     2583   +0.99%  +++++++
  2026-06-11      +25.91 $     2609   +1.00%  ++++++++ TARGET
  2026-06-12      +12.87 $     2622   +0.49%  +++
  2026-06-15      +16.69 $     2638   +0.64%  +++++
  2026-06-16      +18.01 $     2656   +0.68%  +++++
  2026-06-17      +47.82 $     2704   +1.80%  ++++++++++++++ TARGET
  2026-06-18      +43.99 $     2748   +1.63%  +++++++++++++ TARGET
  2026-06-19      -24.79 $     2723   -0.90%  -------
  2026-06-22       -6.98 $     2716   -0.26%  --
  2026-06-23      +96.05 $     2812   +3.54%  ++++++++++++++++++++++ TARGET
  2026-06-24      +93.31 $     2906   +3.32%  ++++++++++++++++++++++ TARGET
  2026-06-25      +49.60 $     2955   +1.71%  +++++++++++++ TARGET
  2026-06-26       +8.05 $     2963   +0.27%  ++
  2026-06-29      -31.60 $     2932   -1.07%  -------- STOP
  2026-06-30      -11.59 $     2920   -0.40%  ---
